#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	4.32198461106364	102
10	0	0
100	6.53236077345943	134
1000	16.9629391399895	1021
10000	16.1553501540778	1744
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.375758669943798	14
10001	6.65290660472158	214
10002	0.823763959159459	31
10003	4.52162171416625	213
100033413	1.54287948719191	2
100033414	0	0
100033415	0	0
100033416	3.81783954738815	5
100033417	0	0
100033418	0	0
100033419	0	0
100033420	1.54287948719191	2
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0.796060160944763	1
100033425	0.796060160944763	1
100033426	0	0
100033427	0.796060160944763	1
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0	0
100033432	0.796060160944763	1
100033433	0.796060160944763	1
100033434	0	0
100033435	0.796060160944763	1
100033436	0	0
100033437	1.82511353972702	2
100033438	0.76356790947763	1
100033439	0	0
100033440	1.82511353972702	2
100033441	1.82511353972702	2
100033442	0.912556769863508	1
100033443	0.912556769863508	1
100033444	1.82511353972702	2
100033445	0	0
100033446	0	0
100033447	2.77146870847436	3
100033448	0	0
100033449	0	0
100033450	2.73767030959052	3
100033451	2.77146870847436	3
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	2.73767030959052	3
100033603	0.923822902824786	1
100033799	0.912556769863508	1
100033800	0	0
100033801	1.82511353972702	2
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	1.82511353972702	2
100033807	1.82511353972702	2
100033808	0	0
100033809	1.82511353972702	2
100033810	0	0
100033811	0.912556769863508	1
100033812	1.82511353972702	2
100033813	0.912556769863508	1
100033814	0	0
100033815	2.73767030959052	3
100033816	0.912556769863508	1
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0.0702955895996314	2
100036563	0	0
100036564	0	0
100036565	0	0
100036566	1.4118802854492	1
100036567	0	0
100037417	6.99586114116096	349
100038246	0	0
10004	1.08610217715798	39
100048912	0.0533101318894379	3
100049076	0	0
100049587	0.0347883101482137	1
100049716	1.88834459050456	59
10005	40.6603036051786	664
10006	19.3217462263208	975
10007	24.7468150819679	882
100073347	0.174292674989459	3
10008	0.804357856433437	33
10009	5.43857030309165	386
100093630	47.6298612613089	394
100093631	0.761467887724391	37
100093698	0	0
1001	1.87249137015492	107
10010	4.87178946584383	189
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.0855196058614945	1
100101266	0.89437834815308	15
100101267	3.70897592719343	348
100101467	3.34453086128757	198
100101490	0.267567300818144	3
100101629	0	0
100101938	0.0803324263325901	4
10011	20.9124701595717	588
100113378	0	0
100113379	0	0
100113380	0	0
100113381	0	0
100113382	0	0
100113384	0	0
100113386	4.92438223334355	235
100113389	0	0
100113391	0	0
100113392	0	0
100113393	0.726501506104929	1
100113402	0	0
100113403	0.260277061317592	2
100113404	0	0
100113407	9.52603835052336	1071
100124412	0	0
100124516	11.6401685755923	14
100124533	0	0
100124534	0.562628985930885	1
100124535	0	0
100124536	0	0
100124537	0.558430262155281	1
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	14.323454188797	379
100125556	1.83316156611484	50
100125918	0.994414021645285	4
100126270	0.27201791355482	11
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0.935370689110096	1
100126313	0	0
100126314	0.870112268939624	1
100126315	1.03930076567788	1
100126316	0	0
100126317	3.11790229703365	3
100126318	0	0
100126319	0	0
100126320	0	0
100126321	9.23822902824786	10
100126323	0	0
100126324	0	0
100126325	4.93382341508622	6
100126326	0	0
100126327	0	0
100126328	3.98030080472381	5
100126329	1.27913940391124	2
100126330	0	0
100126331	0	0
100126332	8.75666177039239	11
100126333	0.850336990100087	1
100126334	0	0
100126335	0	0
100126336	0	0
100126337	0	0
100126338	6.96089815151699	8
100126339	1.27913940391124	2
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0	0
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0	0
100126349	0	0
100126350	0	0
100126351	102.206358224713	112
100126352	0	0
100126354	0	0
100126355	0	0
100126356	0	0
100126447	0	0
100126582	0	0
100126584	0	0
100126693	0	0
100126780	0	0
100126781	0	0
100126784	3.76249670077985	188
100126791	0.102226304820776	2
100126793	10.900244845461	311
100126798	0	0
100126799	0	0
100126800	0	0
100127206	0.261185532735803	2
100127888	0.946545180828207	18
100127889	0.763567909477629	12
100127967	0	0
100127974	2.65353386981587	10
