,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
GFAP,2.15E-17,0.846482699,1.381253087,0.706425202,4.909199842,9.14E-07,TRUE,TRUE
FTH1,1.37E-15,2.363032269,1.544597902,-0.613408014,-1.572427215,0.115851507,TRUE,FALSE
RASGEF1B,3.99E-15,1.245214953,1.413248279,0.182620134,3.054415605,0.002254995,FALSE,FALSE
NRXN1,8.25E-14,6.018302694,5.194917765,-0.212255758,-4.451587578,8.52E-06,FALSE,FALSE
PRKG1,5.02E-13,1.590791903,2.154442369,0.437569384,1.710882567,0.087102793,TRUE,FALSE
LINGO1,6.12E-13,1.093340429,1.290498467,0.239185751,3.02991061,0.002446261,FALSE,FALSE
KCNIP4,2.36E-12,0.303163288,0.175489753,-0.788708271,-4.813104039,1.49E-06,TRUE,TRUE
TENM2,2.36E-12,1.457994272,1.134163446,-0.362356488,-2.836524056,0.004560754,TRUE,FALSE
TMEM241,4.09E-12,0.498643649,0.265781008,-0.907771159,-3.800581202,0.000144357,TRUE,TRUE
SLC26A3,1.92E-11,0.578294898,0.676354139,0.225973466,4.543797388,5.52E-06,FALSE,FALSE
CABLES1,1.45E-09,1.230430138,0.950613467,-0.372232002,-3.770268443,0.000163072,TRUE,TRUE
SLC1A2,1.94E-09,8.12093269,7.07415316,-0.199087976,-2.315143573,0.020605076,FALSE,FALSE
PREX2,5.53E-09,1.349577441,1.070106372,-0.334753551,-3.992755795,6.53E-05,TRUE,TRUE
APOE,5.53E-09,2.285763129,1.748773316,-0.386332614,-1.956695178,0.050383317,TRUE,FALSE
GRM3,1.31E-08,0.736276672,0.536787936,-0.455895745,-3.530881628,0.000414177,TRUE,TRUE
SYTL4,1.65E-07,0.074219266,0.160457411,1.11232479,4.007020875,6.15E-05,TRUE,TRUE
RLBP1,1.65E-07,0.143880538,0.067764647,-1.08626675,-5.386042041,7.20E-08,TRUE,TRUE
SMURF2,1.65E-07,0.319593082,0.229655072,-0.476767531,-5.503267715,3.73E-08,TRUE,TRUE
CIRBP,1.65E-07,0.505789763,0.358616776,-0.496094858,-5.205098408,1.94E-07,TRUE,TRUE
MT2A,1.99E-07,1.428854974,1.924717935,0.429787543,4.119188931,3.80E-05,TRUE,TRUE
MSI2,2.17E-07,2.234514701,1.886045585,-0.244596991,-5.195827424,2.04E-07,FALSE,FALSE
STMN1,2.26E-07,0.14191033,0.066493796,-1.093687962,-4.183727414,2.87E-05,TRUE,TRUE
CST3,2.27E-07,2.386033005,1.952230751,-0.289490411,-0.290042249,0.771783916,TRUE,FALSE
FTL,3.04E-07,1.507882203,1.155927782,-0.383472462,-0.866045816,0.386465037,TRUE,FALSE
BAALC,6.64E-07,0.413823669,0.292361335,-0.50126364,-3.034282224,0.002411088,TRUE,FALSE
PAMR1,6.64E-07,0.785941445,0.614912064,-0.354041718,-2.795311265,0.005184977,TRUE,FALSE
ZFP36L1,7.47E-07,0.461195886,0.705562541,0.613394324,5.069744411,3.98E-07,TRUE,TRUE
SGCD,1.03E-06,1.537269611,1.311404421,-0.229257548,-1.394899933,0.163046017,FALSE,FALSE
SREBF2,1.39E-06,0.365842513,0.268897535,-0.444166202,-3.021251943,0.002517318,TRUE,FALSE
GJA1,1.56E-06,1.315956424,1.71763823,0.38431449,4.614753537,3.94E-06,TRUE,TRUE
MT1E,1.56E-06,0.614624507,0.862066537,0.488093932,5.87396102,4.26E-09,TRUE,TRUE
TUBB2B,2.32E-06,0.493905617,0.34624769,-0.512430929,-3.475721669,0.000509481,TRUE,FALSE
GPC5,2.32E-06,6.541015553,5.883495532,-0.152841094,-4.071926275,4.66E-05,FALSE,FALSE
RAPH1,2.49E-06,0.313490167,0.188812995,-0.731462129,-3.299543832,0.000968421,TRUE,FALSE
COL5A3,2.49E-06,1.513250221,1.208789924,-0.324087022,-2.27666827,0.022806043,TRUE,FALSE
SF1,2.55E-06,0.277489756,0.181146689,-0.615276081,-5.150292348,2.60E-07,TRUE,TRUE
RBFOX1,4.43E-06,0.330620697,0.251500854,-0.394613738,-2.757584607,0.005823014,TRUE,FALSE
SLC1A3,5.02E-06,4.873735035,4.302454073,-0.179868028,-5.123149698,3.00E-07,FALSE,FALSE
COL27A1,5.02E-06,0.143568848,0.278339676,0.95510383,4.510406043,6.47E-06,TRUE,TRUE
NEBL,5.02E-06,2.241879079,2.603593402,0.215795698,7.19798376,6.11E-13,FALSE,FALSE
HLA-A,5.05E-06,0.249556184,0.163743385,-0.607928033,-2.530874167,0.011377866,TRUE,FALSE
PLXNB1,7.04E-06,0.404158961,0.570500495,0.497305303,6.27873176,3.41E-10,TRUE,TRUE
TNIK,7.37E-06,2.808239913,2.450074947,-0.196840312,-2.864312266,0.004179158,FALSE,FALSE
RGS6,8.30E-06,0.120216599,0.23044769,0.938803199,3.633338821,0.000279777,TRUE,TRUE
SCUBE3,1.16E-05,0.031244642,0.006966874,-2.16502548,-4.610892585,4.01E-06,TRUE,TRUE
RERG,1.16E-05,0.431277652,0.314002645,-0.457840249,-3.128770138,0.001755396,TRUE,FALSE
CSF1,1.19E-05,0.04009857,0.115302609,1.523802479,5.018981502,5.19E-07,TRUE,TRUE
SUMF1,1.26E-05,0.413010928,0.322204504,-0.358203295,-3.39225902,0.000693189,TRUE,FALSE
GRIA2,1.26E-05,0.735111109,0.603063016,-0.285653563,-4.874960068,1.09E-06,TRUE,TRUE
ARL17B,1.37E-05,0.292980151,0.209536138,-0.483603848,-1.117191158,0.2639126,TRUE,FALSE
TRMT10B,1.75E-05,0.137458475,0.076323035,-0.848805408,-4.22885187,2.35E-05,TRUE,TRUE
JARID2,1.89E-05,0.611708703,0.478024698,-0.355759642,-5.351766068,8.71E-08,TRUE,TRUE
CLYBL,1.89E-05,0.45077864,0.328685027,-0.455713421,-3.339850475,0.000838235,TRUE,FALSE
VCAN,1.91E-05,0.143406849,0.238685577,0.734997463,4.525967939,6.01E-06,TRUE,TRUE
ACOT11,2.26E-05,0.719307483,0.604121644,-0.251769536,-3.434334356,0.000594011,TRUE,FALSE
SLCO1C1,2.59E-05,0.525607061,0.425833588,-0.303694908,-4.880439278,1.06E-06,TRUE,TRUE
