Entrez,ENS,Biotype,HGNC,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneList,LncList
26659,ENSG00000188269,protein_coding,OR7A5,1.559814405,1.019778734,3.966305555,0.000125847,0.002060194,0.863632814,FALSE,FALSE
5996,ENSG00000090104,protein_coding,RGS1,1.436446894,4.811313829,3.790995541,0.000238269,0.00289713,0.335445604,FALSE,FALSE
399827,NA,NA,NA,-1.377573198,0.33691199,-5.301468879,5.45E-07,0.000211287,5.322806774,FALSE,FALSE
9332,ENSG00000177575,protein_coding,CD163,1.346480532,4.170829713,3.033319991,0.002976887,0.014333293,-1.879283281,FALSE,FALSE
5104,ENSG00000188488,protein_coding,SERPINA5,1.322054424,0.673674984,4.05283964,9.12E-05,0.001744563,1.094176855,FALSE,FALSE
100381270,ENSG00000257315,protein_coding,ZBED6,1.314308996,0.869367123,3.052249885,0.002808429,0.013893586,-1.694804312,FALSE,FALSE
103344926,NA,NA,NA,-1.310724942,2.309934261,-6.414767221,3.07E-09,5.40E-05,10.413809,FALSE,FALSE
91156,ENSG00000163395,protein_coding,IGFN1,-1.287966349,1.217801152,-4.749820337,5.80E-06,0.000459327,3.538085409,TRUE,FALSE
116,ENSG00000141433,protein_coding,ADCYAP1,-1.280195034,2.651407407,-5.83905269,4.75E-08,0.000113078,8.030675683,FALSE,FALSE
101060789,NA,NA,NA,1.263480865,0.6623477,2.906925788,0.004363271,0.018557096,-2.049417556,FALSE,FALSE
3310,ENSG00000173110,protein_coding,HSPA6,1.245454989,2.17776993,3.360170819,0.001050785,0.007354661,-0.876279498,FALSE,FALSE
100506527,NA,NA,NA,-1.231272729,1.678289305,-4.993835228,2.08E-06,0.000333578,4.499675878,FALSE,FALSE
101928793,NA,NA,NA,1.222772281,0.002779928,4.109239245,7.37E-05,0.001558185,1.192598658,FALSE,FALSE
2213,ENSG00000072694,protein_coding,FCGR2B,1.220491909,-0.220263838,3.784886347,0.000243543,0.002928849,0.21506885,FALSE,FALSE
5054,ENSG00000106366,protein_coding,SERPINE1,1.214679793,2.317155928,4.185986374,5.51E-05,0.001328521,1.683747259,FALSE,FALSE
7045,ENSG00000120708,protein_coding,TGFBI,1.212879816,2.576898821,4.427851117,2.14E-05,0.000819168,2.527454353,FALSE,FALSE
100862680,NA,NA,NA,-1.207341599,2.122965614,-3.96706089,0.000125496,0.002060194,0.961296928,FALSE,FALSE
2696,ENSG00000010310,protein_coding,GIPR,1.189240014,1.250360466,3.417939705,0.000867424,0.006520332,-0.725767863,FALSE,FALSE
6280,ENSG00000163220,protein_coding,S100A9,1.178539154,3.107512567,2.497057805,0.013906273,0.041854281,-3.105040641,FALSE,FALSE
5475,ENSG00000086717,protein_coding,PPEF1,-1.178480653,1.057921974,-5.537392295,1.90E-07,0.000139217,6.405515616,FALSE,FALSE
729648,NA,NA,NA,1.164971529,-0.014431132,4.412202908,2.28E-05,0.000845833,2.13620328,FALSE,FALSE
5027,ENSG00000089041,protein_coding,P2RX7,1.160612772,5.930060666,4.587039185,1.13E-05,0.000613774,3.116935568,FALSE,FALSE
102724641,NA,NA,NA,1.160429607,2.031549796,4.616412306,1.00E-05,0.000573243,3.12350646,FALSE,FALSE
102723375,NA,NA,NA,1.155092452,0.222040786,4.462889915,1.86E-05,0.0007694,2.333054723,FALSE,FALSE
84832,NA,NA,NA,1.146298555,1.218327983,4.694003297,7.30E-06,0.000485547,3.271173481,FALSE,FALSE
7425,ENSG00000128564,protein_coding,VGF,-1.144426416,3.673164602,-4.265873232,4.05E-05,0.00115951,1.979812454,FALSE,FALSE
102723569,NA,NA,NA,1.14095764,2.476146964,3.715498061,0.000311772,0.003389964,0.170387312,FALSE,FALSE
8988,ENSG00000169271,protein_coding,HSPB3,-1.124990614,0.825629519,-5.069434704,1.50E-06,0.000299266,4.594941743,FALSE,FALSE
100127888,NA,NA,NA,1.116443717,2.921535712,3.776574576,0.000250897,0.002978576,0.360756864,FALSE,FALSE
101928465,NA,NA,NA,1.092096477,0.021005801,3.730034446,0.000296127,0.003295258,0.073525515,FALSE,FALSE
1428,ENSG00000103316,protein_coding,CRYM,-1.091391207,5.369626154,-4.611957981,1.02E-05,0.000578345,3.214750026,FALSE,FALSE
6442,ENSG00000108823,protein_coding,SGCA,1.088074595,0.177516642,4.919560676,2.85E-06,0.00036932,3.857269977,FALSE,FALSE
283755,NA,NA,NA,1.085176949,4.453265817,3.14571564,0.00209858,0.01139859,-1.614573917,FALSE,FALSE
117283,ENSG00000161896,protein_coding,IP6K3,1.079489811,3.321965701,3.770620048,0.000256294,0.003010131,0.336299477,FALSE,FALSE
101927096,NA,NA,NA,1.073517238,2.635100682,4.25682448,4.19E-05,0.001171494,1.930314248,FALSE,FALSE
