"Gene","Astrocytes","Endothelial","Hybrid","Microglia","Neurons","Oli","OPC","Unidentified","GeneList","LncList","ENS"
"GFAP",1.98,1.674,2.242,0.8526,1.926,1.803,1.318,1.88,TRUE,FALSE,"ENSG00000131095"
"SLC1A2",-1.585,NA,-0.8507,NA,NA,-0.5897,NA,NA,TRUE,FALSE,"ENSG00000110436"
"PDE4D",-1.229,NA,NA,-0.642,NA,-0.6623,NA,NA,TRUE,FALSE,"ENSG00000113448"
"NHSL1",-1.215,NA,NA,1.049,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000135540"
"FRMD4A",-1.275,NA,-1.569,-0.7588,NA,NA,NA,-0.7693,TRUE,FALSE,"ENSG00000151474"
"CTNNA2",-0.7012,NA,-1.052,NA,NA,-1.459,-0.5555,-0.5639,TRUE,FALSE,"ENSG00000066032"
"RORA",-0.6277,NA,NA,NA,NA,-0.617,NA,NA,TRUE,FALSE,"ENSG00000069667"
"ARHGEF3",1.162,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000163947"
"RGS7",-1.082,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000182901"
"ALDH1L1",0.9264,NA,0.8912,NA,NA,NA,0.5532,0.7154,TRUE,FALSE,"ENSG00000144908"
"HSP90AA1",0.968,1.796,1.804,NA,NA,0.7805,0.8866,1.243,TRUE,FALSE,"ENSG00000080824"
"MBP",0.8508,NA,NA,NA,1.057,NA,NA,NA,TRUE,FALSE,"ENSG00000197971"
"KNOP1",0.8748,NA,NA,NA,NA,0.5678,NA,NA,TRUE,FALSE,"ENSG00000103550"
"SLC25A29",0.8784,NA,0.8378,NA,NA,NA,NA,0.7662,TRUE,FALSE,"ENSG00000197119"
"CACNA2D3",0.8726,-1.646,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000157445"
"L3MBTL4",0.9034,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000154655"
"DLG2",-0.6651,NA,-0.6919,-0.6098,NA,-0.6314,-0.5737,-0.581,TRUE,FALSE,"ENSG00000150672"
"SYNM",0.8023,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000182253"
"AHI1",0.7032,NA,NA,NA,0.5034,NA,NA,NA,TRUE,FALSE,"ENSG00000135541"
"LRP4-AS1",-0.9585,NA,-0.9322,NA,NA,NA,-0.6525,NA,FALSE,TRUE,"ENSG00000247675"
"DHCR24",0.787,NA,1.332,NA,0.8593,0.7909,NA,0.835,TRUE,FALSE,"ENSG00000116133"
"PPFIA1",0.7263,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000131626"
"SLC20A2",0.8223,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000168575"
"SLC6A8",0.8407,1.379,0.9902,NA,NA,0.9617,0.557,0.7193,TRUE,FALSE,"ENSG00000130821"
"ENTPD1-AS1",-0.8025,NA,-0.6409,NA,NA,NA,-0.7778,NA,FALSE,TRUE,"ENSG00000226688"
"SRGAP3",-0.8488,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000196220"
"NR4A1",-0.8842,NA,NA,NA,NA,NA,NA,-0.5236,TRUE,FALSE,"ENSG00000123358"
"PDE7B",-0.7638,NA,NA,NA,NA,NA,NA,-0.523,TRUE,FALSE,"ENSG00000171408"
"ENTPD1",-0.899,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000138185"
"PHLPP1",-0.6456,NA,-0.8832,NA,NA,NA,-0.5265,NA,TRUE,FALSE,"ENSG00000081913"
"CDH23",0.7335,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000107736"
"HSP90B1",0.7622,NA,0.9741,1.364,NA,NA,NA,0.6271,TRUE,FALSE,"ENSG00000166598"
