"Gene","Astrocytes","Excitatory","Inhibitory","Microglia","Oligodendrocytes","Oligo_pc","ENS"
"GFAP",0.706425202458949,1.30273114614523,NA,NA,NA,NA,"ENSG00000131095"
"FRMD4A",-0.329495617621566,NA,NA,NA,NA,NA,"ENSG00000151474"
"NPNT",2.06731817242576,NA,NA,NA,NA,NA,"ENSG00000168743"
"PEX5L",-0.553623856186077,NA,NA,NA,NA,NA,"ENSG00000114757"
"SYNM",1.02800062081687,NA,NA,NA,NA,NA,"ENSG00000182253"
"SRPK1",NA,-0.326190005813187,NA,NA,NA,NA,"ENSG00000096063"
"DLG2",NA,0.262000917613377,NA,NA,NA,NA,"ENSG00000150672"
"AP3S1",NA,-0.355350149778471,NA,NA,NA,NA,"ENSG00000177879"
"SUMF1",NA,-0.266791660287068,NA,NA,NA,NA,"ENSG00000144455"
"LAMTOR5",NA,-0.49011143560364,NA,NA,NA,NA,"ENSG00000134248"
"MAX",NA,-0.329638579751758,NA,NA,NA,NA,"ENSG00000125952"
"MEST",NA,-0.424835433983873,NA,NA,NA,NA,"ENSG00000106484"
"NEGR1",NA,0.276908958540282,NA,NA,NA,NA,"ENSG00000172260"
"MRPL51",NA,-0.612837179088237,NA,NA,NA,NA,"ENSG00000111639"
"TEFM",NA,-0.369422461538236,NA,NA,NA,NA,"ENSG00000172171"
"MPPE1",NA,-0.400682782819867,NA,NA,NA,NA,"ENSG00000154889"
"TMEM223",NA,-0.662820715907091,NA,NA,NA,NA,"ENSG00000168569"
"MTMR9",NA,-0.292040792140683,NA,NA,NA,NA,"ENSG00000104643"
"PRKAG1",NA,-0.51620239936849,NA,NA,NA,NA,"ENSG00000181929"
"PIGL",NA,-0.253258173600434,NA,NA,NA,NA,"ENSG00000108474"
"MYO5C",NA,-0.283145682657514,NA,NA,NA,NA,"ENSG00000128833"
"EMC3",NA,-0.362614139124495,NA,NA,NA,NA,"ENSG00000125037"
"MIEN1",NA,-0.30972690604585,NA,NA,0.440497416136297,NA,"ENSG00000141741"
"ENTPD3",NA,-0.416220877950649,NA,NA,NA,NA,"ENSG00000168032"
"ARSG",NA,-0.428066100487675,NA,NA,NA,NA,"ENSG00000141337"
"KIF9",NA,-0.44817908017331,NA,NA,NA,NA,"ENSG00000088727"
"NR4A1",NA,-0.846327027924823,NA,NA,NA,NA,"ENSG00000123358"
"ZNF75A",NA,-0.272261501413078,NA,NA,NA,NA,"ENSG00000162086"
"UST",NA,-0.534886880951927,NA,NA,NA,NA,"ENSG00000111962"
"XPC",NA,-0.347191026720808,NA,NA,NA,NA,"ENSG00000154767"
"IQCH",NA,-0.386460563544072,NA,NA,NA,NA,"ENSG00000103599"
"NUBP1",NA,-0.434333921016608,NA,NA,NA,NA,"ENSG00000103274"
"TIMM8B",NA,-0.523823950029181,NA,NA,NA,NA,"ENSG00000150779"
"PDZD11",NA,-0.751524261801757,NA,NA,NA,NA,"ENSG00000120509"
"SUPT4H1",NA,-0.437411188371443,NA,NA,NA,NA,"ENSG00000213246"
"RPL26L1",NA,-0.562280275213828,NA,NA,NA,NA,"ENSG00000037241"
"PTRH1",NA,-0.570443975150615,NA,NA,NA,NA,"ENSG00000187024"
"NANS",NA,-0.437753918173453,NA,NA,NA,NA,"ENSG00000095380"
"TAC4",NA,-0.551724485425457,NA,NA,NA,NA,"ENSG00000176358"
"YPEL1",NA,0.283588304785969,NA,NA,NA,NA,"ENSG00000100027"
"SESN3",NA,0.259494668882698,NA,NA,NA,NA,"ENSG00000149212"
"PTPRN",NA,0.27572879015116,NA,NA,NA,NA,"ENSG00000054356"
"TNK2",NA,0.2581396921033,NA,NA,NA,NA,"ENSG00000061938"
"PSD",NA,0.46879677291874,NA,NA,NA,NA,"ENSG00000059915"
"CLUH",NA,0.487966043428189,NA,NA,NA,NA,"ENSG00000132361"
"MAMDC2",NA,NA,-0.424904927571702,NA,NA,NA,"ENSG00000165072"
"NDUFS3",NA,NA,-0.65452709476481,NA,NA,NA,"ENSG00000213619"
"LAMP5",NA,NA,-0.893574743062871,NA,NA,NA,"ENSG00000125869"
"RORA",NA,NA,NA,-1.58757297497566,NA,NA,"ENSG00000069667"
"SNCA",NA,NA,NA,0.987777550036889,NA,NA,"ENSG00000145335"
"SLC1A5",NA,NA,NA,1.48894072787585,NA,NA,"ENSG00000105281"
"DTNA",NA,NA,NA,0.477263792395162,NA,NA,"ENSG00000134769"
"NRGN",NA,NA,NA,NA,-0.98759196984505,NA,"ENSG00000154146"
"TP53TG5",NA,NA,NA,NA,-0.395649442614125,NA,"ENSG00000124251"
"SLC25A29",NA,NA,NA,NA,-0.525372862644339,NA,"ENSG00000197119"
"LIFR",NA,NA,NA,NA,0.26833704967021,NA,"ENSG00000113594"
"FKBP4",NA,NA,NA,NA,0.442121012624519,NA,"ENSG00000004478"
"PCBP1",NA,NA,NA,NA,0.298591294359009,NA,"ENSG00000169564"
"SRGAP3",NA,NA,NA,NA,-0.302996838458506,NA,"ENSG00000196220"
"DAPK2",NA,NA,NA,NA,-0.254885884622607,NA,"ENSG00000035664"
"SNAI3",NA,NA,NA,NA,-0.529223481327759,NA,"ENSG00000185669"
"KIAA0895L",NA,NA,NA,NA,-0.613267658334371,NA,"ENSG00000196123"
"AHI1",NA,NA,NA,NA,NA,-0.44832646029687,"ENSG00000135541"
"LRRC75A",NA,NA,NA,NA,NA,-1.24896093453123,"ENSG00000181350"
"AFAP1",NA,NA,NA,NA,NA,-0.38594468847669,"ENSG00000196526"
