"ENSEMBL","HGNC"
"ENSG00000197536","C5orf56"
"ENSG00000212952",""
"ENSG00000223874","LINC01921"
"ENSG00000224730","LILRB1-AS1"
"ENSG00000232774",""
"ENSG00000236939","BAALC-AS2"
"ENSG00000257327",""
"ENSG00000266258","LINC01909"
"ENSG00000268926",""
"ENSG00000184224","C11orf72"
"ENSG00000204188","GGNBP1"
"ENSG00000214188","ST7-OT4"
"ENSG00000257955",""
"ENSG00000258987",""
"ENSG00000267496","FAM215A"
"ENSG00000124915","MYRF-AS1"
"ENSG00000175061","SNHG29"
"ENSG00000175611","LINC00476"
"ENSG00000178803","ADORA2A-AS1"
"ENSG00000182841","RRP7BP"
"ENSG00000189223","PAX8-AS1"
"ENSG00000197099",""
"ENSG00000198491",""
"ENSG00000205488","CALML3-AS1"
"ENSG00000214198","TTC41P"
"ENSG00000215424","MCM3AP-AS1"
"ENSG00000223745","CCDC18-AS1"
"ENSG00000223799","IL10RB-DT"
"ENSG00000223813",""
"ENSG00000224066",""
"ENSG00000224195",""
"ENSG00000225205",""
"ENSG00000225376","TMEM246-AS1"
"ENSG00000226245","ZNF32-AS1"
"ENSG00000226688","ENTPD1-AS1"
"ENSG00000226800","CACTIN-AS1"
"ENSG00000226849",""
"ENSG00000226919",""
"ENSG00000227050",""
"ENSG00000227218",""
"ENSG00000227258","SMIM2-AS1"
"ENSG00000227398","KIF9-AS1"
"ENSG00000228113",""
"ENSG00000228192",""
"ENSG00000228863",""
"ENSG00000229839",""
"ENSG00000229956","ZRANB2-AS2"
"ENSG00000230186",""
"ENSG00000230782",""
"ENSG00000231046",""
"ENSG00000231871","IPO9-AS1"
"ENSG00000232295",""
"ENSG00000233360",""
"ENSG00000234222","LIX1L-AS1"
"ENSG00000234290",""
"ENSG00000234892",""
"ENSG00000235010",""
"ENSG00000235410",""
"ENSG00000235652",""
"ENSG00000236144","TMEM147-AS1"
"ENSG00000236164",""
"ENSG00000236263",""
"ENSG00000236841",""
"ENSG00000237125","HAND2-AS1"
"ENSG00000237298","TTN-AS1"
"ENSG00000240288","GHRLOS"
"ENSG00000240535",""
"ENSG00000240666","MME-AS1"
"ENSG00000241720",""
"ENSG00000242797","GLYCTK-AS1"
"ENSG00000244161","FLNB-AS1"
"ENSG00000245534","RORA-AS1"
"ENSG00000245719",""
"ENSG00000246090",""
"ENSG00000246174","KCTD21-AS1"
"ENSG00000246731",""
"ENSG00000246877","DNM1P35"
"ENSG00000247033",""
"ENSG00000248019","FAM13A-AS1"
"ENSG00000249786","EAF1-AS1"
"ENSG00000250007",""
"ENSG00000250218","ALDH1L1-AS1"
"ENSG00000250685",""
"ENSG00000253125",""
"ENSG00000253356",""
"ENSG00000253389",""
"ENSG00000253397",""
"ENSG00000254721",""
"ENSG00000254762",""
"ENSG00000254844",""
"ENSG00000254873",""
"ENSG00000254905",""
"ENSG00000254928",""
"ENSG00000255045",""
"ENSG00000255847",""
"ENSG00000255857","PXN-AS1"
"ENSG00000255929",""
"ENSG00000256690",""
"ENSG00000257588",""
"ENSG00000258168",""
"ENSG00000258283",""
"ENSG00000258325","ITFG2-AS1"
"ENSG00000258428",""
"ENSG00000258504",""
"ENSG00000258525",""
"ENSG00000258666",""
"ENSG00000259006",""
"ENSG00000259081",""
"ENSG00000259248","USP3-AS1"
"ENSG00000259370",""
"ENSG00000259426",""
"ENSG00000259884",""
"ENSG00000260206",""
"ENSG00000260808",""
"ENSG00000260874",""
"ENSG00000260990",""
"ENSG00000261202",""
"ENSG00000261423","TMEM202-AS1"
"ENSG00000261460",""
"ENSG00000261552",""
"ENSG00000261656","BEAN1-AS1"
"ENSG00000261779",""
"ENSG00000261879",""
"ENSG00000261924",""
"ENSG00000261971","MMP25-AS1"
"ENSG00000262580",""
"ENSG00000262995",""
"ENSG00000263818","RDM1P5"
"ENSG00000265487",""
"ENSG00000266527",""
"ENSG00000266844",""
"ENSG00000267724",""
"ENSG00000268069",""
"ENSG00000268677",""
"ENSG00000268739",""
"ENSG00000268895","A1BG-AS1"
"ENSG00000269495",""
"ENSG00000269680",""
"ENSG00000269966",""
"ENSG00000269982",""
"ENSG00000272030",""
"ENSG00000273247",""
"ENSG00000131007","TTTY9B"
"ENSG00000152931","PART1"
"ENSG00000157306","ZFHX2-AS1"
"ENSG00000164616","FBXL21P"
"ENSG00000175147","TMEM51-AS1"
"ENSG00000177406",""
"ENSG00000177640","CASC2"
"ENSG00000179818","PCBP1-AS1"
"ENSG00000183242","WT1-AS"
"ENSG00000186615","KTN1-AS1"
"ENSG00000196299","ZNRD1ASP"
"ENSG00000197291","RAMP2-AS1"
"ENSG00000197989","SNHG12"
"ENSG00000198106",""
"ENSG00000198358",""
"ENSG00000203808","BVES-AS1"
"ENSG00000204261","PSMB8-AS1"
"ENSG00000204623","ZNRD1ASP"
"ENSG00000204934","ATP6V0E2-AS1"
"ENSG00000205771","CATSPER2P1"
"ENSG00000205890",""
"ENSG00000206232",""
"ENSG00000206296",""
"ENSG00000206417","H1FX-AS1"
"ENSG00000213904","LIPE-AS1"
"ENSG00000213963",""
"ENSG00000221817","PPP3CB-AS1"
"ENSG00000223374",""
"ENSG00000223454","HCG21"
"ENSG00000223482","NUTM2A-AS1"
"ENSG00000224046",""
"ENSG00000224277",""
"ENSG00000224614","TNK2-AS1"
"ENSG00000224619","HCG18"
"ENSG00000224687","RASAL2-AS1"
"ENSG00000224699","LAMTOR5-AS1"
"ENSG00000224705","HCG18"
"ENSG00000224897","POT1-AS1"
"ENSG00000225449","RAB6C-AS1"
"ENSG00000225465","RFPL1S"
"ENSG00000225618","ZNRD1ASP"
"ENSG00000225733","FGD5-AS1"
"ENSG00000226416","MRPL23-AS1"
"ENSG00000226419","SLC16A1-AS1"
"ENSG00000226482","ADIPOQ-AS1"
"ENSG00000226812",""
"ENSG00000226864","ATE1-AS1"
"ENSG00000226937","CEP164P1"
"ENSG00000227128","LBX1-AS1"
"ENSG00000227145","IL21-AS1"
"ENSG00000227165","WDR11-AS1"
"ENSG00000227199","ST7-AS1"
"ENSG00000227375","DLG1-AS1"
